`,file_name,impd_code,site_name,site_code,Contributor,Longitude,Latitude,Reference
933,ushit001.fhx,USHIT001,Hitchcock,HIT,Baisan_CH,-110.682,32.37724,"Baisan et al., 1998"
961,uslem001.fhx,USLEM001,"Mount Lemmon, Santa Catalina Mountains",LEM,Grissino_Mayer_HD,-110.793626,32.439289,"Baisan et al., 1998"
1019,uspal001.fhx,USPAL001,Palisades,PAL_02,Swetnam_TW,-110.712,32.41111,"Baisan et al., 1998"
1047,usrcl001.fhx,USRCL001,Rose Canyon Lower,RCL,Baisan_CH,-110.708,32.39286,"Baisan et al., 1998"
1048,usrcu001.fhx,USRCU001,Rose Canyon Upper,RCU,Baisan_CH,-110.689,32.39526,"Baisan et al., 1998"
1063,usrse001.fhx,USRSE001,Rose Canyon East,RSE,Swetnam_TW,-110.6948,32.39616,"Baisan et al., 1998"
38,Barrett.fhx,BARRETT,Barrett canyon Watershed,BAR,Weisberg,-117.493889,39.093611,Bauer_Weisbert_CJFR_2009
154,CCSAMP.FHX,CCSAMP,Cub Creek Research Natural Area (Lassen),CCRNA,Taylor_A,-121.48829,40.169659,"Beaty and Taylor, 2001, IJWF 2008"
671,TLWFIRE.fhx,TLWFIRE,Thousand Lakes Wilderness,TLW,Taylor_A,-121.570157,40.712732,"Bekker and Taylor, 2001"
1153,VCM.fhx,VCM,Vallecito Country Market,VCM,Bigio_ER,-107.566667,37.433333,"Bigio et al., 2010"
369,MAR_FS.fhx,usmar001,Marina Basin ,MAR,"Bigio, E.R.",-107.563078,37.398606,"Bigio et al., 2016"
617,SC_all_scars.fhx,usste001,Steven's Creek,STE,"Bigio, E.R.",-107.803325,37.407654,"Bigio et al., 2016"
266,HAF_FS_RO.fhx,ushaf001,Haflin Canyon,HAF,"Bigio, E.R.",-107.835488,37.365701,"Bigio etal., 2016"
407,mtwilson.fhx,MTWILSON,Mt. Wilson Range/White Rock Mtns,MTWIL,Biondi_F,-114.102,38.249,"Biondi et al., 20XX?"
760,usach024.fhx,USACH024,Archuleta Mesa,ACH,Brown_PM,-107.25,37.16666667,"Brown and Wu, 2006"
849,uschl001.fhx,USCHL001,Old Tree Cluster,CHL,Brown_PM,-105.3,39.13333333,"Brown et al., 1999"
850,uschn001.fhx,USCHN001,Cheesman Lake North,CHN,Brown_PM,-105.2666667,39.19166667,"Brown et al., 1999"
853,uschs001.fhx,USCHS001,Cheesman Lake South,CHS_1,Brown_PM,-105.275,39.15,"Brown et al., 1999"
80,BKL02.FHX,BKL02,Burnt Knob Lake (BKL),BKL02,Kipfmueller_KF,-115,45.72,"Brunnelle et al., 2005"
81,BKR02.FHX,BKR02,Baker Lake (BKR),BKR02,Kipfmueller_KF,-114.25,45.88,"Brunnelle et al., 2005"
280,HOO02.FHX,HOO02,Hoodoo Lake (HOO),HOO02,Kipfmueller_KF,-114.53,46.33,"Brunnelle et al., 2005"
285,ILL.fhx,ILL,Illilouette Creek basin,ILL,Stephens_S,-119.485662,37.675156,"Collins and Stephens, 2007 (Frontiers research commnication)"
625,SGL.fhx,SGL,Sugarloaf Creek basin,SGL,Stephens_S,-118.6439,36.7307,"Collins and Stephens, 2007 (Frontiers research commnication)"
1155,VEC.fhx,VEC,Valle El Cajete,VEC,Dewar_J,-106.5609819,35.83753429,"Dewar, in prep"
1156,VG.FHX,VG,Valle Grande/La Jara,VG,Dewar_J,-106.4690694,35.87966152,"Dewar, in prep"
1159,VJ.fhx,VJ,Valle Jaramillo,VJ,Dewar_J,-106.5227153,35.91849202,"Dewar, in prep"
1160,VSA.FHX,VSA,Valle San Antonio,VSA,Dewar_J,-106.5561044,35.96991378,"Dewar, in prep"
1161,VSC.fhx,VSC,Valle Seco,VSC,Dewar_J,-106.5693524,35.9369402,"Dewar, in prep"
1162,VSLD.fhx,VSLD,Valle San Luis Drainage,VSLD,Dewar_J,-106.5586188,35.94460602,"Dewar, in prep"
1163,VSR.FHX,VSR,Valle Santa Rosa,VSR,Dewar_J,-106.5178444,35.94213417,"Dewar, in prep"
1164,VTW.fhx,VTW,Valle Toledo,VTW,Dewar_J,-106.4811076,35.97593662,"Dewar, in prep"
736,us39m001.fhx,US39M001,39 Mile Mtn,39M,Donnegan_JA,-105.5,38.81666667,"Donnegan et al., 2001, CJFR"
762,usalg001.fhx,USALG001,Al Gulch,ALG,Donnegan_JA,-105.6,39.26666667,"Donnegan et al., 2001, CJFR"
768,usbad001.fhx,USBAD001,Badger Mtn,BAD,Donnegan_JA,-105.55,39.06666667,"Donnegan et al., 2001, CJFR"
833,usbsa001.fhx,USBSA001,BSA Shortcut,BSA,Donnegan_JA,-105.3666667,38.93333333,"Donnegan et al., 2001, CJFR"
848,uschi001.fhx,USCHI001,China Wall,CHI_2,Donnegan_JA,-105.4666667,39.11666667,"Donnegan et al., 2001, CJFR"
868,uscro002.fhx,USCRO002,Crooked Creek,CRO_2,Donnegan_JA,-105.95,39.3,"Donnegan et al., 2001, CJFR"
1017,usouz001.fhx,USOUZ001,Ouzel,OUZ,Donnegan_JA,-105.1833333,39.31666667,"Donnegan et al., 2001, CJFR"
1021,uspea002.fhx,USPEA002,Peabody Spur,PEA_02,Donnegan_JA,-105.9166667,39.33333333,"Donnegan et al., 2001, CJFR"
1062,usrrr001.fhx,USRRR001,RR Radio Tower,RRR,Donnegan_JA,-105.0333333,39.16666667,"Donnegan et al., 2001, CJFR"
1064,usrye001.fhx,USRYE001,Rye Slough,RYE,Donnegan_JA,-105.6666667,38.73333333,"Donnegan et al., 2001, CJFR"
1067,ussal001.fhx,USSAL001,Salt Creek,SAL_1,Donnegan_JA,-105.95,38.91666667,"Donnegan et al., 2001, CJFR"
1174,WKYTN.FHX,WKYTN,Whiskytown NRA,WKYTN,Stephens_S,-122.703154,40.619315,"Fry and Stephens, 2006"
7,AL.fhx,AL,Arroyo Laureles (AL),AL_MX,Fulé_PZ,-106.2166667,24.95,"Fulé & Covington 1997, Acta Bot Mex 41:43-79"
30,AV.fhx,AV,Arroyo Verde (AV),AV,Fulé_PZ,-106.2166667,25.08333333,"Fulé & Covington 1997, Acta Bot Mex 41:43-79"
130,CB.fhx,CB,Cebadillas (CB),CB,Fulé_PZ,-106,24.88333333,"Fulé & Covington 1997, Acta Bot Mex 41:43-79"
634,SL.fhx,SL,Salsipuedes (SL),SL_MX,Fulé_PZ,-106.5,25.25,"Fulé & Covington 1997, Acta Bot Mex 41:43-79"
27,ASP01.fhx,ASP01,Arroyo San Pedro North and South (ASPN),ASP01,Fulé_PZ,-104.2166667,23.38333333,"Fulé & Covington 1999, Cons Biol 13:640-652"
29,AT.fhx,AT,Arroyo Taray (AT),AT,Fulé_PZ,-104.25,23.41666667,"Fulé & Covington 1999, Cons Biol 13:640-652"
122,CA.fhx,CA,Cerro Almagre (CA),CA_MX,Fulé_PZ,-104.1166667,23.35,"Fulé & Covington 1999, Cons Biol 13:640-652"
519,PG.fhx,PG,Playa Grande (PG),PG,Fulé_PZ,-104.3,23.46666667,"Fulé & Covington 1999, Cons Biol 13:640-652"
859,uscnv001.fhx,USCNV001,Camp Navajo (CN),CN,Fulé_PZ,-111.8667,35.25,"Fulé et al. 1997, Ecol App 7:895-908"
924,usgpt001.fhx,USGPT001,Galahad/Bedivere (GB),GB,Fulé_PZ,-112.2310361,36.26851389,"Fulé et al. 2003, Land Ecol 18:465-486"
973,uslpk001.fhx,USLPK001,Little Park (LP)/Big Spring (BS),LP_BS,Fulé_PZ,-112.1103889,36.32276389,"Fulé et al. 2003, Land Ecol 18:465-486"
662,TA.fhx,TA,Tutuaca High (TU),TA,Fulé_PZ,-108.2833333,28.65,"Fulé et al. 2005, CJFR 35:320-330."
672,TM.fhx,TM,Tutuaca Low (TU),TM,Fulé_PZ,-108.2833333,28.65,"Fulé et al. 2005, CJFR 35:320-330."
675,TP.fhx,TP,Tutuaca Top (TU),TP,Fulé_PZ,-108.2833333,28.65,"Fulé et al. 2005, CJFR 35:320-330."
900,usfp_001.fhx,USFP_001,Fire Point,FP,Fulé_PZ,-112.3614355,36.35577658,"Fule et al., 2002; Fulé et al. 2003, IJWF 12:129-145"
925,usgv_001.fhx,USGV_001,Grandview,GV,Fulé_PZ,-111.9859249,35.99608652,"Fule et al., 2002; Fulé et al. 2003, IJWF 12:129-145"
1032,uspp_001.fhx,USPP_001,Powell Plateau,PP,Fulé_PZ,-112.3942428,36.29747899,"Fule et al., 2002; Fulé et al. 2003, IJWF 12:129-145"
1055,usrp_001.fhx,USRP_001,Rainbow Plateau,RP,Fulé_PZ,-112.3189333,36.3110715,"Fule et al., 2002; Fulé et al. 2003, IJWF 12:129-145"
1100,ussr_001.fhx,USSR_001,Swamp Ridge,SR,Fulé_PZ,-112.2845409,36.33637195,"Fule et al., 2002; Fulé et al. 2003, IJWF 12:129-145"
966,uslmm001.fhx,USLMM001,San Juans (Lower Middle Mountain),LMM,Fulé_PZ,-107.228,37.296,Fule_etal_2009_FEM_1200_1210
520,pgac.fhx,PGAC,Pino Gordo (PG) Alto Corachi,PGAC,Fulé_PZ,-107,26.8333,Fule_etal_EA_2011
521,pgbc.fhx,PGBC,Pino Gordo (PG) Bajo Corachi,PGBC,Fulé_PZ,-107,26.8333,Fule_etal_EA_2011
523,pgmc.fhx,PGMC,Pino Gordo (PG) Medio Corachi,PGMC,Fulé_PZ,-107,26.8333,Fule_etal_EA_2011
10,Alone.fhx,ALONE,DM_Alone,AL,Taylor_A,-120.66615,40.31853,"Gill and Taylor, 2009"
14,An.fhx,AN,DM_Antelope,AN,Taylor_A,-120.64648,40.30777,"Gill and Taylor, 2009"
26,As.fhx,AS,DM_Aspen,AS,Taylor_A,-120.64887,40.31581,"Gill and Taylor, 2009"
44,Be.fhx,BE,DM_Beaty,BE,Taylor_A,-120.71865,40.34772,"Gill and Taylor, 2009"
50,Bf.fhx,BF,DM_Bear Flat,BF,Taylor_A,-120.60746,40.29754,"Gill and Taylor, 2009"
82,Bl.fhx,BL,DM_BLM,BL,Taylor_A,-120.74073,40.32218,"Gill and Taylor, 2009"
89,Bo.fhx,BO,DM_Bogard,BO,Taylor_A,-120.63883,40.30464,"Gill and Taylor, 2009"
92,Bp.fhx,BP,DM_Big Pine,BP,Taylor_A,-120.59968,40.28637,"Gill and Taylor, 2009"
96,Br.fhx,BR,DM_Bear 2,BR,Taylor_A,-120.62414,40.30097,"Gill and Taylor, 2009"
108,Bt.fhx,BT,DM_Beaty2,BT_1,Taylor_A,-120.68211,40.33886,"Gill and Taylor, 2009"
172,Co.fhx,CO,DM_Converse,CO,Taylor_A,-120.66856,40.35304,"Gill and Taylor, 2009"
212,Di.fhx,DI,DM_Diamonds,DI_2,Taylor_A,-120.64159,40.31855,"Gill and Taylor, 2009"
217,Ea.fhx,EA,DM_Eastwood,EA,Taylor_A,-120.68703,40.35359,"Gill and Taylor, 2009"
233,Fr.fhx,FR,DM_Fredonyer,FR_1,Taylor_A,-120.8658,40.36203,"Gill and Taylor, 2009"
252,Gi.fhx,GI,DM_Gilman,GI,Taylor_A,-120.71295,40.31797,"Gill and Taylor, 2009"
255,Go.fhx,GO,DM_Goldrun,GO,Taylor_A,-120.75764,40.31598,"Gill and Taylor, 2009"
261,H1.fhx,H1,DM_Ham1,H1,Taylor_A,-120.87771,40.33149,"Gill and Taylor, 2009"
262,H2.fhx,H2,DM_Ham2,H2,Taylor_A,-120.85536,40.297,"Gill and Taylor, 2009"
263,H3.fhx,H3,DM_Ham3,H3,Taylor_A,-120.83933,40.26263,"Gill and Taylor, 2009"
265,Ha_dm.fhx,HA_DM,DM_Handle,HA_2,Taylor_A,-120.77539,40.3264,"Gill and Taylor, 2009"
319,La.fhx,LA,DM_Lassen,LA_2,Taylor_A,-120.78279,40.32163,"Gill and Taylor, 2009"
383,MiOl.fhx,MIOL,DM_Millar,MIOL,Taylor_A,-120.67945,40.35513,"Gill and Taylor, 2009"
507,Pa.fhx,PA,DM_Parcel,PA_02,Taylor_A,-120.61691,40.32215,"Gill and Taylor, 2009"
515,Pe.fhx,PE,DM_Peconom,PE,Taylor_A,-120.81536,40.36647,"Gill and Taylor, 2009"
529,PL.fhx,PL,DM_Plumas,PL,Taylor_A,-120.78684,40.28079,"Gill and Taylor, 2009"
554,Ra.fhx,RA,DM_Radio,RA,Taylor_A,-120.86079,40.3387,"Gill and Taylor, 2009"
570,Ri.fhx,RI,DM_River,RI,Taylor_A,-120.78156,40.30244,"Gill and Taylor, 2009"
572,Ro.fhx,RO,DM_Roxie,RO_1,Taylor_A,-120.8065,40.36032,"Gill and Taylor, 2009"
626,Sh.fhx,SH,DM_Stephens,SH_1,Taylor_A,-120.79527,40.30821,"Gill and Taylor, 2009"
643,Sp.fhx,SP,DM_Steep!,SP,Taylor_A,-120.59413,40.30253,"Gill and Taylor, 2009"
652,St_dm.fhx,ST_DM,DM_Starbucks,ST_2,Taylor_A,-120.6276,40.31767,"Gill and Taylor, 2009"
655,Su.fhx,SU,DM_Susanville,SU,Taylor_A,-120.72787,40.31813,"Gill and Taylor, 2009"
705,Up.fhx,UP,DM_Upstream,UP,Taylor_A,-120.83843,40.34679,"Gill and Taylor, 2009"
1173,Wi.fhx,WI,DM_Wildfire,WI,Taylor_A,-120.83135,40.24444,"Gill and Taylor, 2009"
156,CER.fhx,CER,Chuska East Ridge,CER,Guiterman_CH,-108.8490855,36.0767165,Guiterman et al. 2019
214,DKL_revised.fhx,DKL,Duck Lake,DKL,Guiterman_CH,-108.9063162,36.12385502,Guiterman et al. 2019
228,FFe_07-01-18_1.fhx,FFe,Falling Irons ,FFe,Guiterman_CH,-109.0323041,36.17913561,Guiterman et al. 2019
317,KCS.fhx,KCS,Kailcheebito Spring ,KCS,Guiterman_CH,-109.1474016,35.93260262,Guiterman et al. 2019
372,MCS-U.fhx,MCU,Monument Canyon Upper ,MCU,Guiterman_CH,-109.2829551,35.996924,Guiterman et al. 2019
428,NBC.fhx,NBC,Natural Bridges Canyon ,NBC,Guiterman_CH,-109.1493192,35.71060411,Guiterman et al. 2019
513,PCS.fhx,PCS,Pine Canyon South ,PCS,Guiterman_CH,-109.3401856,35.57216351,Guiterman et al. 2019
532,PNH_3-14-18_1.fhx,PNH,Piney Hill ,PNH,Guiterman_CH,-109.179202,35.75119527,Guiterman et al. 2019
608,S&S.fhx,S&S,Savage & Swetnam,S&S,Guiterman_CH,-108.9532603,36.15451725,Guiterman et al. 2019
648,SQN.fhx,SQN,Squirrel Springs North ,SQN,Guiterman_CH,-108.8841841,35.91749822,Guiterman et al. 2019
661,SWW.fhx,SWW,Scattered Willow Wash ,SWW,Guiterman_CH,-109.2252104,35.79067235,Guiterman et al. 2019
670,TLK_10-24-18_1.fhx,TLK,Tohatchi Lookout,TLK,Guiterman_CH,-108.8377304,35.93429719,Guiterman et al. 2019
1095,usspe001.fhx,USSPE001,San Francisco Peaks East (SFE),SPE,Fulé_PZ,-111.608333,35.31666667,"Heinlein et al. 2005, IJWF 14:307-320"
1099,usspw001.fhx,USSPW001,San Francisco Peaks West (SFW),SPW,Fulé_PZ,-111.7166667,35.31666667,"Heinlein et al. 2005, IJWF 14:307-320"
164,ClarksGrade.fhx,CLARKSGRADE,Clarks Grade,Clarks,Stephens_S,-116.945,34.2017,"JFSP final report - Skinner, Stephens, Everett"
198,CrystalLake.fhx,CRYSTALLAKE,Crystal Lake,Crystal,Stephens_S,-117.8467,34.32,"JFSP final report - Skinner, Stephens, Everett"
203,Cuyamaca.fhx,CUYAMACA,Cuyamaca Peak,Cuya,Stephens_S,-116.6033,32.9883,"JFSP final report - Skinner, Stephens, Everett"
238,Frazier.fhx,FRAZIER,Frazier Peak,Fraz,Stephens_S,-118.9417,34.81,"JFSP final report - Skinner, Stephens, Everett"
242,FryCreek.fhx,FRYCREEK,Fry Creek,FryC,Stephens_S,-116.8833,33.3433,"JFSP final report - Skinner, Stephens, Everett"
256,GrassyHollow.fhx,GRASSYHOLLOW,Grassy Hollow,Grassy,Stephens_S,-117.725,34.3767,"JFSP final report - Skinner, Stephens, Everett"
260,Guffy.fhx,GUFFY,Guffy,Guffy,Stephens_S,-117.665,34.3467,"JFSP final report - Skinner, Stephens, Everett"
404,MtLaguna.fhx,MTLAGUNA,Mt. Laguna,MtLag,Stephens_S,-116.4167,32.8567,"JFSP final report - Skinner, Stephens, Everett"
405,MtPinos.fhx,MTPINOS,Mt. Pinos,MtPin,Stephens_S,-119.160232,34.833226,"JFSP final report - Skinner, Stephens, Everett"
527,PineMt.fhx,PINEMT,Pine Mountain,PineMt,Stephens_S,-119.36,34.6517,"JFSP final report - Skinner, Stephens, Everett"
623,Section9.fhx,SECTION9,Section 9,Sec_9,Stephens_S,-117.1983,34.275,"JFSP final report - Skinner, Stephens, Everett"
628,ShakeCreek.fhx,SHAKECREEK,Shake Creek,Shake,Stephens_S,-117.125,34.2583,"JFSP final report - Skinner, Stephens, Everett"
654,Strawberry.fhx,STRAWBERRY,Strawberry Peak,Strawbery,Stephens_S,-117.2433,34.2317,"JFSP final report - Skinner, Stephens, Everett"
1178,WrightMt.fhx,WRIGHTMT,Wright Mountain,Wright,Stephens_S,-117.6317,34.3317,"JFSP final report - Skinner, Stephens, Everett"
964,usljn001.fhx,USLJN001,La Junta North,LJN,Margolis_EQ,-105.375,36.4277,Johnson and Margolis 2019
978,usman001.fhx,USMAN001,Manzanita Canyon,MAN,Margolis_EQ,-105.5070038,36.5798988,Johnson and Margolis 2019
999,usmrp002.fhx,USMRP002,Middle Rio Pueblo,MRP,Margolis_EQ,-105.401001,36.4431992,Johnson and Margolis 2019
1033,usprc001.fhx,USPRC001,Pueblo Ridge Central,PRC,Margolis_EQ,-105.4219971,36.3806992,Johnson and Margolis 2019
1034,uspre001.fhx,USPRE001,Pueblo Ridge East,PRE,Margolis_EQ,-105.3529968,36.4132996,Johnson and Margolis 2019
1035,usprw001.fhx,USPRW001,Pueblo Ridge West,PRW,Margolis_EQ,-105.4670029,36.3936996,Johnson and Margolis 2019
1050,usrh-001.fhx,USRH-001,Rio Hondo,RH,Margolis_EQ,-105.450345,36.592275,Johnson and Margolis 2019
1129,usupf001.fhx,USUPF001,Upper Pine Flats,UPF,Margolis_EQ,-105.4789963,36.4518013,Johnson and Margolis 2019
1149,usyer001.fhx,USYER001,Yerba Canyon,YER,Margolis_EQ,-105.5189972,36.5760994,Johnson and Margolis 2019
370,MCC.fhx,MCC,McClure Canyon,MCC,Kaib_M,-110.3608,31.4742,"Kaib, 1998"
504,OSO.fhx,OSO,Canon del Oso,OSO,Kaib_M,-109.936671,31.010212,"Kaib, 1998"
526,PINEC.FHX,PINEC,Pine Canyon,PINEC,Kaib_M,-109.3603,31.9572,"Kaib, 1998"
606,RUCKER.fhx,RUCKER,Rucker Canyon,RUCKER,Kaib_M,-109.3197,31.7806,"Kaib, 1998"
680,TURKEY.fhx,TURKEY,Turkey Creek,TURKEY,Kaib_M,-109.3767,31.8825,"Kaib, 1998"
117,BVR02.FHX,BVR02,Beaver Lake (BVR),BVR02,Kipfmueller_KF,-114.28,46.55,Kipfmueller dissertation
382,Mineral.fhx,MINERAL,Mineral Peak,MIN,Larson_E,-113.8111,47.0021,"Larson et al., 2009_Ecoscience"
394,Morrell.fhx,MORRELL,Morrell Mountain,MOR_02,Larson_E,-113.3565,47.1924,"Larson et al., 2009_Ecoscience"
534,Point_Six.fhx,POINT_SIX,Point Six,PSIX,Larson_E,-113.9914,47.0377,"Larson et al., 2009_Ecoscience"
1092,ussmc001.fhx,USSMC001,Santa Fe Watershed Mixed Conifer,SMC,Margolis_E,-105.7925,35.731667,Margolis_Balmat_FEM_2009
1098,usspp001.fhx,USSPP001,Santa Fe Watershed Ponderosa Pine,SPP,Margolis_E,-105.841389,35.694167,Margolis_Balmat_FEM_2009
2,ABM.fhx,ABM,Abajo Mountain,ABM,Brown_PM,-109.4534,37.8748,NA
5,Aby.fhx,ABY,Above the 'Y',ABY,Swetnam_TW,-118.956,36.71732,NA
16,ANP.FHX,ANP,Animas Peak,ANP,Swetnam_TW,-108.7882,31.56895,NA
17,ANT.FHX,ANT,Anita Spring,ANT_1,Swetnam_TW,-109.284,31.85157,NA
18,Aoki_BPRfire.fhx,AOKI_BPRFIRE,Banded Peak Ranch,BPR,Aoki_C,-106.7,37.116667,NA
19,APE.FHX,APE,Animas Peak East,APE,Swetnam_TW,-108.7889,31.57792,NA
20,APL.FHX,APL,Animas Peak Lower,APL_1,Swetnam_TW,-108.789937,31.581742,NA
21,APL_GF.FHX,APL_GF,Ash Peak Lower - not in final report,APL_GF,Swetnam_TW,-118.810156,36.559562,NA
22,APN.FHX,APN,Animas Peak North,APN,Swetnam_TW,-108.7842,31.5803,NA
23,APS.FHX,APS,Animas Peak South,APS,Swetnam_TW,-108.7892,31.5699,NA
24,APW.FHX,APW,Animas Peak West,APW,Swetnam_TW,-108.7877,31.5802,NA
28,ASP02.FHX,ASP02,Ash Peak,ASP02,Swetnam_TW,-118.815086,36.548025,NA
31,AWB.FHX,AWB,Animas West Bench,AWB,Swetnam_TW,-108.790163,31.575276,NA
39,BBS.FHX,BBS,Iron Creek Road/Merced Ridge Trail,BBS,Swetnam_TW,-119.705,37.57513,NA
41,BCL.fhx,BCL,East Tavaputs Plateau,BCL,Brown_PM,-109.4044,39.5628,NA
43,BDH.fhx,BDH,LPNF,BDH,Lombardo_K,-119.473726,34.557465,NA
45,Berland1.fhx,BERLAND1,Berland River AB (site 1),Berl_1,Daniels_L,-117.96,53.83,NA
46,Berland2.fhx,BERLAND2,"Berland River, AB (site 2)",Berl_2,Daniels_L,-117.92,53.79,NA
47,Berland3.fhx,BERLAND3,"Berland River, AB (site 3)",Berl_3,Daniels_L,-117.84,53.8,NA
48,Berland4.fhx,BERLAND4,"Berland River, AB (site 4)",Berl_4,Daniels_L,-117.78,53.89,NA
49,Berland6.fhx,BERLAND6,"Berland River, AB (site 6)",Berl_6,Daniels_L,-117.86,53.77,NA
51,BFH.FHX,BFH,Iron Creek Road/South Fork Merced River Trail,BFH,Swetnam_TW,-119.70865,37.572413,NA
52,BGS.FHX,BGS,(West of) Booger Springs,BGS,Swetnam_TW,-109.280949,31.870857,NA
53,BH_103.fhx,BH_103,Black Hills Plot 103,BH_103,Brown_PM,-103.9,43.9,NA
54,BH_104.fhx,BH_104,Black Hills Plot 104,BH_104,Brown_PM,-103.85,43.9,NA
55,BH_105.fhx,BH_105,Black Hills Plot 105,BH_105,Brown_PM,-103.9,43.91666667,NA
56,BH_106.fhx,BH_106,Black Hills Plot 106,BH_106,Brown_PM,-103.9166667,43.88333333,NA
57,BH_108.fhx,BH_108,Black Hills Plot 108,BH_108,Brown_PM,-103.9666667,43.93333333,NA
58,BH_109.fhx,BH_109,Black Hills Plot 109,BH_109,Brown_PM,-103.95,43.93333333,NA
59,BH_110.fhx,BH_110,Black Hills Plot 110,BH_110,Brown_PM,-103.95,43.91666667,NA
60,BH_111.fhx,BH_111,Black Hills Plot 111,BH_111,Brown_PM,-103.9333333,43.88333333,NA
61,BH_112.fhx,BH_112,Black Hills Plot 112,BH_112,Brown_PM,-103.85,43.91666667,NA
62,BH_113.fhx,BH_113,Black Hills Plot 113,BH_113,Brown_PM,-103.95,43.9,NA
63,BH_114.fhx,BH_114,Black Hills Plot 114,BH_114,Brown_PM,-103.8666667,43.88333333,NA
64,BH_201.fhx,BH_201,Black Hills Plot 201,BH_201,Brown_PM,-103.8333333,43.7,NA
65,BH_202.fhx,BH_202,Black Hills Plot 202,BH_202,Brown_PM,-103.8,43.7,NA
66,BH_203.fhx,BH_203,Black Hills Plot 203,BH_203,Brown_PM,-103.85,43.73333333,NA
67,BH_204.fhx,BH_204,Black Hills Plot 204,BH_204,Brown_PM,-103.8,43.73333333,NA
68,BH_205.fhx,BH_205,Black Hills Plot 205,BH_205,Brown_PM,-103.8333333,43.75,NA
69,BH_206.fhx,BH_206,Black Hills Plot 206,BH_206,Brown_PM,-103.7666667,43.75,NA
70,BH_207.fhx,BH_207,Black Hills Plot 207,BH_207,Brown_PM,-103.85,43.76666667,NA
71,BH_208.fhx,BH_208,Black Hills Plot 208,BH_208,Brown_PM,-103.7833333,43.76666667,NA
72,BH_209.fhx,BH_209,Black Hills Plot 209,BH_209,Brown_PM,-103.8166667,43.78333333,NA
73,BH_210.fhx,BH_210,Black Hills Plot 210,BH_210,Brown_PM,-103.8666667,43.8,NA
74,BH_212.fhx,BH_212,Black Hills Plot 212,BH_212,Brown_PM,-103.85,43.81666667,NA
75,BH_213.fhx,BH_213,Black Hills Plot 213,BH_213,Brown_PM,-103.8,43.75,NA
76,BIG.fhx,BIG,Bigelow,BIG,Swetnam_TW,-110.730947,32.416053,NA
78,BIM.FHX,BIM,Biledo Meadow,BIM,Swetnam_TW,-119.573799,37.505475,NA
